제목,저자,출간일,쪽수,가격,역자
감으로만 일하던 김 팀장은 어떻게 데이터 좀 아는 팀장이 되었나,"황보현우 , 김철수",2021-08-16,336 쪽,"17,800원",-
미래조직을 위한 조직설계의 이해(4판),"현선해 , 최세경 , 서문교",2021-08-13,292 쪽,"22,000원",-
쉽게 배우고 익히는 회계원리(4판),"정용기 , 김선미 , 임영제 , 신영직 , 유지선",2021-08-13,568 쪽,"30,000원",-
쉽게 배우고 익히는 회계원리[객관식/학습문제 해답](4판),"정용기 , 김선미 , 임영제 , 신영직 , 유지선",2021-08-13,160 쪽,"7,000원",-
fastai와 파이토치가 만나 꽃피운 딥러닝,"제러미 하워드 , 실뱅 거거",2021-08-10,720 쪽,"44,000원","박찬성 , 김지은"
"IT CookBook, 짧고 굵게 배우는 JSP 웹 프로그래밍과 스프링 프레임워크",황희정,2021-08-09,472 쪽,"27,000원",-
스케치업 & V-Ray 트레이닝 북(개정판),강석창,2021-08-09,496 쪽,"28,000원",-
생각과 말로 글을 늘리는 초등 10분 글쓰기,강근영,2021-08-07,324 쪽,"15,800원",-
데이터베이스 시스템(7판),"Abraham Silberschatz , Henry F. Korth , S. Sudarshan",2021-08-05,1248 쪽,"45,000원","정연돈 , 권준호 , 김종욱 , 서영균 , 이동호"
만들면서 배우는 파이토치 딥러닝,오가와 유타로,2021-08-05,544 쪽,"40,000원",박광수(아크몬드)
눈 떠보니 선진국,박태웅,2021-08-01,228 쪽,"16,500원",-
실리콘밸리 리더십,마이클 롭,2021-08-01,368 쪽,"22,000원",김정혜
처음 시작하는 마이크로서비스,"로니 미트라 , 이라클리 나다레이슈빌리",2021-08-01,344 쪽,"27,000원",-
텐서플로 라이트를 활용한 안드로이드 딥러닝,임태규,2021-08-01,368 쪽,"27,000원",-
회사에서 바로 통하는  오토캐드 AutoCAD 2022,심미현,2021-07-28,664 쪽,"28,000원",-
5리터의 피,로즈 조지,2021-07-27,492 쪽,"25,000원",김정아
미국주식 스팩투자법,리차드(이명진),2021-07-26,280 쪽,"18,500원",-
재미있고 빠른 숫자 쓰기 1권 : 0부터 50까지,한빛학습연구회,2021-07-26,88 쪽,"7,500원",-
재미있고 빠른 숫자 쓰기 2권 : 0부터 100까지,한빛학습연구회,2021-07-26,96 쪽,"7,500원",-
